,customer,response,coverage,education,effective_to_date,employment_status,gender,location_code,renew_offer_type,vehicle_size,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,day,month,year,claim_amount_bin,state_Arizona,state_California,state_Nevada,state_Oregon,state_Washington,marital_status_Divorced,marital_status_Married,marital_status_Single,policy_type_Corporate,policy_type_Personal,policy_type_Special,policy_number_L1,policy_number_L2,policy_number_L3,sales_channel_Agent,sales_channel_Branch,sales_channel_Call Center,sales_channel_Web,vehicle_class_Four-Door Car,vehicle_class_Luxury Car,vehicle_class_Luxury SUV,vehicle_class_SUV,vehicle_class_Sports Car,vehicle_class_Two-Door Car,coverage_ordinal,employment_status_ordinal,location_code_ordinal,vehicle_size_ordinal
1275,CK39096,Yes,Premium,High School or Below,2011-01-26,Unemployed,M,Suburban,Offer2,Medsize,5619.689084,0,153,25,5,0,1,1027.000029,26,1,2011,Outliers,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,2,0,1,1
1283,MJ51323,Yes,Extended,Bachelor,2011-02-10,Employed,F,Suburban,Offer1,Medsize,8427.172486,46503,215,4,21,1,1,1032.0,10,2,2011,Outliers,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,1,2,1,1
1284,QI64880,No,Basic,Bachelor,2011-02-07,Unemployed,M,Suburban,Offer2,Medsize,7007.274228,0,101,12,12,0,6,973.787176,7,2,2011,Outliers,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,0,0,1,1
1292,TA66375,Yes,Premium,Bachelor,2011-01-24,Employed,F,Suburban,Offer2,Medsize,11009.13049,51643,283,16,43,0,1,1358.4,24,1,2011,Outliers,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,2,2,1,1
1294,TK40018,No,Premium,High School or Below,2011-02-13,Unemployed,M,Suburban,Offer4,Medsize,5917.466603,0,169,31,77,0,1,1207.084251,13,2,2011,Outliers,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,2,0,1,1
1312,LD75023,No,Extended,High School or Below,2011-01-20,Employed,M,Suburban,Offer1,Medsize,26346.08582,48268,223,28,26,0,2,1605.6,20,1,2011,Outliers,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,1,2,1,1
1363,EK19337,No,Extended,High School or Below,2011-01-31,Unemployed,F,Suburban,Offer1,Small,3040.253837,0,83,30,44,0,1,989.105367,31,1,2011,Outliers,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,1,0,1,0
1364,GD55093,Yes,Extended,Master,2011-02-20,Employed,F,Suburban,Offer2,Medsize,19160.98994,22705,239,19,59,0,7,1294.700423,20,2,2011,Outliers,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,1,2,1,1
1365,NN68193,No,Extended,College,2011-02-20,Employed,M,Suburban,Offer3,Medsize,5391.078171,21440,135,7,19,0,1,972.0,20,2,2011,Outliers,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,1,2,1,1
1383,YF80144,No,Premium,Bachelor,2011-02-02,Disabled,M,Suburban,Offer3,Small,20725.37773,15529,273,1,64,0,9,1965.6,2,2,2011,Outliers,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,2,0,1,0
1384,GE29173,No,Extended,Bachelor,2011-01-15,Unemployed,M,Suburban,Offer1,Medsize,8591.305411,0,128,4,24,0,6,1448.994134,15,1,2011,Outliers,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,1,0,1,1
1448,WH81461,No,Basic,College,2011-01-29,Unemployed,M,Suburban,Offer3,Medsize,7542.713967,0,111,7,25,0,3,1186.972445,29,1,2011,Outliers,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,0,0,1,1
1466,DM76654,No,Extended,College,2011-02-06,Employed,M,Suburban,Offer2,Large,46611.87375,22022,136,35,1,0,2,979.2,6,2,2011,Outliers,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,1,2,1,2
1476,AU46443,No,Basic,Bachelor,2011-02-28,Unemployed,F,Suburban,Offer1,Medsize,7517.083811,0,102,19,13,0,3,1178.995926,28,2,2011,Outliers,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,0,0,1,1
1504,RO85831,No,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Offer4,Medsize,7531.697272,82157,188,5,33,0,1,1353.6,10,1,2011,Outliers,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,0,2,1,1
1516,FI13966,No,Premium,High School or Below,2011-01-03,Employed,F,Suburban,Offer3,Small,22207.82615,40450,287,8,20,3,7,1377.6,3,1,2011,Outliers,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,2,2,1,0
1534,MG99229,No,Basic,College,2011-02-04,Unemployed,M,Suburban,Offer2,Small,5886.221122,0,180,21,68,0,1,1777.471271,4,2,2011,Outliers,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,0,0,1,0
1541,XD29421,No,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Offer3,Large,15362.35442,48115,192,15,67,0,5,1382.4,10,1,2011,Outliers,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,0,2,1,2
1552,UU93074,No,Premium,College,2011-01-05,Employed,M,Suburban,Offer1,Medsize,11701.06985,32435,297,24,68,0,1,1767.348807,5,1,2011,Outliers,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,2,2,1,1
1555,UD27196,No,Extended,High School or Below,2011-01-22,Employed,M,Suburban,Offer3,Small,19685.40911,51524,244,6,30,0,3,1171.2,22,1,2011,Outliers,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,1,2,1,0
1592,BY22068,No,Extended,High School or Below,2011-02-18,Employed,M,Suburban,Offer4,Medsize,23950.37443,39335,201,0,11,0,2,964.8,18,2,2011,Outliers,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,1,2,1,1
1604,NZ19529,No,Extended,High School or Below,2011-02-22,Unemployed,M,Suburban,Offer2,Medsize,4839.107156,0,137,18,50,0,1,1227.458548,22,2,2011,Outliers,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1,0,1,1
1621,GY55415,No,Premium,Bachelor,2011-02-27,Unemployed,F,Suburban,Offer1,Medsize,15725.25053,0,149,16,70,0,2,1072.8,27,2,2011,Outliers,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,2,0,1,1
1622,IB42395,No,Premium,College,2011-01-18,Unemployed,M,Suburban,Offer1,Medsize,9553.415528,0,146,20,14,0,4,1051.2,18,1,2011,Outliers,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,2,0,1,1
1626,QN37451,No,Basic,College,2011-01-29,Unemployed,M,Suburban,Offer1,Medsize,12767.23056,0,189,28,90,0,5,2201.327879,29,1,2011,Outliers,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,0,0,1,1
1633,ZR40902,No,Premium,Bachelor,2011-01-15,Medical Leave,F,Suburban,Offer1,Small,4209.279338,26435,111,32,50,1,1,1012.249308,15,1,2011,Outliers,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,2,0,1,0
1636,NM22175,No,Premium,College,2011-01-09,Unemployed,M,Suburban,Offer2,Large,11490.33618,0,161,0,94,0,3,1052.933035,9,1,2011,Outliers,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,2,0,1,2
1670,OH15677,No,Basic,High School or Below,2011-01-05,Unemployed,M,Suburban,Offer1,Medsize,3742.579083,0,110,35,78,1,1,1272.546918,5,1,2011,Outliers,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0,0,1,1
1687,WV79842,No,Extended,High School or Below,2011-01-16,Employed,M,Suburban,Offer2,Medsize,9283.737773,24314,235,20,60,0,1,1128.0,16,1,2011,Outliers,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,1,2,1,1
1796,GM63998,No,Premium,Doctor,2011-02-14,Employed,F,Suburban,Offer3,Medsize,32613.69038,45173,268,20,57,0,2,1286.4,14,2,2011,Outliers,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,2,2,1,1
1798,CB62406,No,Premium,High School or Below,2011-02-04,Employed,M,Suburban,Offer1,Medsize,6803.596768,43758,171,16,29,0,1,1129.929433,4,2,2011,Outliers,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,2,2,1,1
1812,LU42720,No,Extended,College,2011-02-20,Employed,M,Suburban,Offer3,Medsize,48356.96084,52499,138,0,61,0,2,1171.537594,20,2,2011,Outliers,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,1,2,1,1
1819,LC33025,No,Extended,College,2011-02-14,Employed,M,Suburban,Offer1,Medsize,7918.334928,44698,211,0,88,4,1,1012.8,14,2,2011,Outliers,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,1,2,1,1
1823,LO84523,No,Basic,High School or Below,2011-02-04,Unemployed,M,Suburban,Offer2,Medsize,6503.143913,0,187,6,12,0,1,1588.682955,4,2,2011,Outliers,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,0,0,1,1
1858,CP92616,No,Extended,High School or Below,2011-02-25,Employed,M,Urban,Offer3,Small,46805.22306,83006,235,8,61,1,2,1065.049894,25,2,2011,Outliers,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,1,2,2,0
1871,GX19342,No,Premium,High School or Below,2011-01-28,Unemployed,F,Suburban,Offer1,Large,8491.465719,0,116,3,97,0,3,1193.115879,28,1,2011,Outliers,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,2,0,1,2
1881,XT93203,Yes,Premium,High School or Below,2011-02-08,Employed,M,Suburban,Offer1,Medsize,10963.95723,55687,276,33,91,0,1,1324.8,8,2,2011,Outliers,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,2,2,1,1
1885,OX24868,No,Premium,High School or Below,2011-02-25,Unemployed,F,Suburban,Offer1,Medsize,6021.842473,0,168,11,46,0,1,1476.670903,25,2,2011,Outliers,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,2,0,1,1
1974,YC54142,No,Extended,High School or Below,2011-01-26,Unemployed,M,Suburban,Offer1,Medsize,74228.51604,0,242,1,34,0,2,1742.4,26,1,2011,Outliers,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,1,0,1,1
1983,GB14456,No,Extended,High School or Below,2011-02-13,Unemployed,M,Suburban,Offer1,Large,22337.1631,0,130,9,43,0,2,1376.910777,13,2,2011,Outliers,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,1,0,1,2
1988,KC19420,No,Extended,College,2011-01-11,Disabled,F,Suburban,Offer1,Large,4987.643113,19589,127,26,44,0,1,1027.010512,11,1,2011,Outliers,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,1,0,1,2
